sr_no,total_sqft,bath,price,site_location,bhk
53,7000.0,4.0,550.0,Alandi Road,4
54,1102.0,2.0,52.0,Alandi Road,2
55,1020.0,2.0,46.5,Alandi Road,2
56,1855.0,3.0,145.0,Alandi Road,3
57,1181.0,2.0,75.0,Alandi Road,2
59,1130.0,2.0,45.2,Alandi Road,2
60,1065.0,2.0,55.0,Alandi Road,2
61,1540.0,3.0,85.0,Alandi Road,3
62,1246.0,2.0,67.4,Alandi Road,2
63,500.0,1.0,30.0,Alandi Road,1
64,1080.0,2.0,45.0,Alandi Road,2
65,1756.0,3.0,128.0,Alandi Road,3
66,914.0,2.0,32.0,Alandi Road,2
67,1150.0,2.0,36.8,Alandi Road,2
68,2144.6,4.0,145.0,Alandi Road,3
70,1856.0,3.0,135.0,Alandi Road,3
71,1800.0,4.0,125.0,Alandi Road,3
72,1338.0,2.0,103.0,Alandi Road,2
74,2480.0,2.0,160.0,Alandi Road,2
75,3596.0,5.0,279.0,Alandi Road,4
76,375.0,1.0,40.0,Alandi Road,1
78,2400.0,5.0,200.0,Alandi Road,5
79,1565.0,2.0,69.0,Alandi Road,2
80,1185.0,2.0,51.15,Alandi Road,2
81,1091.0,2.0,33.82,Alandi Road,2
82,1200.0,4.0,125.0,Alandi Road,4
83,1135.0,2.0,68.0,Alandi Road,2
84,2658.0,5.0,189.0,Alandi Road,4
85,3000.0,4.0,301.0,Alandi Road,4
86,1830.0,4.0,150.0,Alandi Road,3
87,1907.0,2.0,200.0,Alandi Road,3
88,1685.0,3.0,115.0,Alandi Road,3
89,890.0,2.0,40.0,Alandi Road,2
90,1260.0,2.0,75.0,Alandi Road,3
91,674.0,1.0,19.9,Alandi Road,2
92,1049.0,2.0,51.0,Alandi Road,2
93,945.0,2.0,35.0,Alandi Road,2
94,1540.0,3.0,90.0,Alandi Road,3
96,1194.0,2.0,51.0,Alandi Road,2
97,1189.0,2.0,45.0,Alandi Road,2
98,1339.0,2.0,53.56,Alandi Road,2
99,1350.0,2.0,68.0,Alandi Road,2
101,1244.0,2.0,88.0,Alandi Road,2
102,1719.0,3.0,135.0,Alandi Road,3
103,416.0,1.0,17.19,Alandi Road,1
104,1041.0,2.0,54.0,Alandi Road,2
105,705.0,1.0,65.0,Alandi Road,1
108,1027.0,2.0,44.0,Alandi Road,2
109,1801.0,3.0,115.0,Alandi Road,3
110,1205.0,2.0,37.0,Alandi Road,2
111,1105.0,2.0,39.5,Alandi Road,2
112,3504.0,4.0,262.0,Alandi Road,4
113,1089.0,2.0,40.0,Alandi Road,2
114,925.0,2.0,49.82,Alandi Road,3
115,1255.0,3.0,90.0,Alandi Road,3
116,1200.0,2.0,45.0,Alandi Road,2
117,1799.0,6.0,101.0,Alandi Road,6
119,1200.0,2.0,75.0,Alandi Road,2
120,2600.0,5.0,120.0,Ambegaon Budruk,4
121,1330.0,2.0,48.0,Ambegaon Budruk,3
122,950.0,2.0,40.0,Ambegaon Budruk,2
123,1200.0,2.0,65.0,Ambegaon Budruk,2
124,1180.0,2.0,78.34,Ambegaon Budruk,3
125,1215.0,2.0,67.0,Ambegaon Budruk,2
126,884.0,2.0,41.1,Ambegaon Budruk,2
127,1036.0,2.0,50.0,Ambegaon Budruk,2
128,6000.0,5.0,400.0,Ambegaon Budruk,4
129,1240.0,2.0,60.0,Ambegaon Budruk,2
130,2060.0,3.0,149.0,Ambegaon Budruk,3
131,1890.0,4.0,127.0,Ambegaon Budruk,3
132,1330.0,2.0,86.98,Ambegaon Budruk,2
133,1700.0,3.0,180.0,Ambegaon Budruk,3
134,1115.0,2.0,50.0,Ambegaon Budruk,2
135,1045.0,2.0,45.0,Ambegaon Budruk,2
136,1070.0,2.0,54.0,Ambegaon Budruk,2
137,1340.0,2.0,100.0,Ambegaon Budruk,3
138,1500.0,2.0,143.0,Ambegaon Budruk,3
139,3122.0,6.0,245.0,Ambegaon Budruk,4
140,1089.0,2.0,43.55,Ambegaon Budruk,2
141,3250.0,4.0,230.0,Ambegaon Budruk,4
142,1130.0,2.0,45.19,Ambegaon Budruk,3
143,1082.0,2.0,49.0,Ambegaon Budruk,3
144,780.0,2.0,25.0,Ambegaon Budruk,2
145,1355.0,3.0,61.0,Ambegaon Budruk,3
146,1065.0,2.0,50.0,Ambegaon Budruk,2
147,1351.0,2.0,53.0,Ambegaon Budruk,1
148,1146.0,2.0,39.5,Ambegaon Budruk,2
149,1000.0,2.0,60.0,Ambegaon Budruk,2
150,1665.0,3.0,86.91,Ambegaon Budruk,3
151,1274.0,2.0,48.42,Ambegaon Budruk,2
152,1819.18,3.0,160.0,Ambegaon Budruk,3
153,1444.0,2.0,80.0,Ambegaon Budruk,3
154,1263.0,2.0,78.0,Ambegaon Budruk,2
155,1690.0,3.0,112.0,Ambegaon Budruk,3
156,1500.0,3.0,95.0,Ambegaon Budruk,3
157,709.0,1.0,34.385,Ambegaon Budruk,1
158,1410.0,2.0,45.12,Ambegaon Budruk,3
159,1000.0,2.0,68.0,Ambegaon Budruk,2
160,1360.0,2.0,103.0,Ambegaon Budruk,2
161,1140.0,2.0,52.0,Ambegaon Budruk,2
162,2560.0,4.0,75.0,Ambegaon Budruk,4
163,1230.0,2.0,53.51,Ambegaon Budruk,3
164,1174.0,2.0,75.0,Ambegaon Budruk,2
165,1075.0,2.0,30.0,Ambegaon Budruk,2
166,1260.0,2.0,45.0,Ambegaon Budruk,3
167,1390.0,2.0,65.0,Ambegaon Budruk,2
168,1010.0,2.0,35.0,Ambegaon Budruk,2
169,1250.0,2.0,60.0,Ambegaon Budruk,2
170,2400.0,5.0,190.0,Ambegaon Budruk,4
171,1150.0,6.0,75.0,Ambegaon Budruk,6
172,1576.0,3.0,58.0,Ambegaon Budruk,3
173,1200.0,2.0,52.5,Ambegaon Budruk,2
174,919.0,2.0,34.0,Ambegaon Budruk,2
175,1242.0,2.0,65.0,Ambegaon Budruk,2
176,1200.0,4.0,110.0,Ambegaon Budruk,6
177,913.0,2.0,36.0,Ambegaon Budruk,2
178,883.0,2.0,45.0,Ambegaon Budruk,2
179,1724.0,3.0,146.0,Ambegaon Budruk,3
180,1741.0,3.0,80.0,Ambegaon Budruk,3
181,1444.0,2.0,71.5,Ambegaon Budruk,3
182,1395.0,2.0,75.0,Ambegaon Budruk,2
183,600.0,1.0,47.0,Ambegaon Budruk,1
184,1280.0,3.0,50.0,Ambegaon Budruk,3
185,1258.0,2.0,58.0,Ambegaon Budruk,2
186,1806.0,3.0,85.0,Ambegaon Budruk,3
187,750.0,2.0,36.5,Ambegaon Budruk,2
188,2600.0,3.0,147.0,Ambegaon Budruk,3
189,900.0,2.0,55.0,Ambegaon Budruk,2
190,500.0,1.0,20.0,Ambegaon Budruk,1
191,1089.0,2.0,49.0,Ambegaon Budruk,2
192,1086.0,2.0,44.5,Ambegaon Budruk,2
193,1512.0,3.0,103.0,Ambegaon Budruk,3
194,1500.0,3.0,72.99,Ambegaon Budruk,3
195,2000.0,2.0,180.0,Ambegaon Budruk,3
196,1215.0,2.0,68.0,Ambegaon Budruk,2
197,2400.0,2.0,125.0,Ambegaon Budruk,3
198,2210.0,3.0,165.0,Ambegaon Budruk,3
199,1800.0,3.0,93.0,Ambegaon Budruk,3
200,3122.0,6.0,245.0,Ambegaon Budruk,4
201,1600.0,2.0,90.0,Ambegaon Budruk,3
202,1452.0,3.0,60.0,Ambegaon Budruk,3
203,2275.0,4.0,185.0,Ambegaon Budruk,3
204,900.0,2.0,72.0,Ambegaon Budruk,2
205,1398.0,2.0,97.0,Ambegaon Budruk,2
206,3270.0,4.0,205.0,Ambegaon Budruk,4
207,1340.0,2.0,85.0,Ambegaon Budruk,2
208,1350.0,3.0,70.0,Ambegaon Budruk,3
209,2650.0,4.0,175.0,Ambegaon Budruk,3
210,500.0,1.0,33.0,Ambegaon Budruk,1
211,984.0,2.0,45.91,Ambegaon Budruk,2
212,1725.0,3.0,106.0,Ambegaon Budruk,3
213,2250.0,5.0,240.0,Ambegaon Budruk,5
214,1035.0,2.0,39.0,Ambegaon Budruk,2
215,1220.0,2.0,35.23,Ambegaon Budruk,3
216,1590.0,3.0,76.16,Ambegaon Budruk,3
217,1345.0,2.0,57.0,Ambegaon Budruk,3
218,1107.83,2.0,41.51,Ambegaon Budruk,2
219,1505.0,2.0,60.0,Ambegaon Budruk,3
220,1220.0,2.0,62.0,Ambegaon Budruk,2
221,560.0,2.0,22.0,Ambegaon Budruk,2
222,1200.0,2.0,45.0,Ambegaon Budruk,2
223,1310.0,2.0,60.0,Ambegaon Budruk,2
224,1315.0,2.0,55.0,Ambegaon Budruk,2
225,1450.0,2.0,73.0,Ambegaon Budruk,3
226,1220.0,2.0,55.0,Ambegaon Budruk,2
227,1200.0,1.0,50.0,Ambegaon Budruk,2
228,1150.0,2.0,45.99,Ambegaon Budruk,2
229,1165.0,2.0,52.0,Ambegaon Budruk,2
230,1160.0,2.0,49.0,Ambegaon Budruk,2
231,925.0,2.0,35.0,Ambegaon Budruk,2
232,1516.0,3.0,147.0,Ambegaon Budruk,3
233,1790.0,3.0,120.0,Ambegaon Budruk,3
234,1112.0,2.0,58.0,Ambegaon Budruk,2
235,1490.0,3.0,85.0,Ambegaon Budruk,3
236,1440.0,2.0,62.0,Anandnagar,3
237,1200.0,2.0,65.0,Anandnagar,2
238,1200.0,2.0,60.0,Anandnagar,2
239,1017.0,2.0,51.25,Anandnagar,2
240,1629.0,3.0,79.0,Anandnagar,3
241,1460.0,3.0,73.0,Anandnagar,3
242,900.0,3.0,80.0,Anandnagar,5
243,1300.0,1.0,115.0,Anandnagar,2
244,1662.0,3.0,85.1,Anandnagar,3
245,1117.0,2.0,56.0,Anandnagar,2
246,1535.0,3.0,78.0,Anandnagar,3
247,1730.0,3.0,96.0,Anandnagar,3
248,1400.0,2.0,73.0,Anandnagar,3
249,1200.0,2.0,34.0,Anandnagar,3
250,1757.0,3.0,132.0,Anandnagar,3
251,1200.0,2.0,125.0,Anandnagar,2
252,1200.0,4.0,83.0,Anandnagar,4
253,3555.0,4.0,230.0,Anandnagar,4
254,1450.0,3.0,132.0,Anandnagar,4
255,1010.0,2.0,46.0,Anandnagar,2
256,1290.0,2.0,85.0,Anandnagar,2
257,1800.0,3.0,90.0,Anandnagar,3
258,2475.0,4.0,130.0,Anandnagar,3
259,1776.42,3.0,105.0,Anandnagar,3
260,1050.0,2.0,42.0,Anandnagar,2
261,1455.0,2.0,56.0,Anandnagar,3
262,1000.0,2.0,65.0,Anandnagar,3
263,1128.0,2.0,65.0,Anandnagar,2
264,1000.0,2.0,22.0,Anandnagar,2
265,1345.0,2.0,55.0,Anandnagar,2
266,1277.0,2.0,55.0,Anandnagar,2
267,1200.0,8.0,110.0,Anandnagar,7
268,1418.0,2.0,103.0,Anandnagar,2
269,1050.0,2.0,53.5,Anandnagar,2
270,1340.0,2.0,77.0,Anandnagar,2
271,1419.0,2.0,73.0,Anandnagar,3
272,1891.0,3.0,109.0,Anandnagar,3
273,2592.0,4.0,250.0,Anandnagar,4
274,1050.0,2.0,40.0,Anandnagar,2
275,1100.0,2.0,41.15,Anandnagar,2
276,1583.0,3.0,76.1,Anandnagar,3
277,1750.0,3.0,130.0,Anandnagar,3
278,2661.0,2.0,226.5,Anandnagar,3
279,972.0,2.0,40.0,Anandnagar,2
280,966.0,2.0,49.0,Anandnagar,2
281,1045.0,2.0,58.0,Anandnagar,2
282,1033.0,2.0,52.58,Anandnagar,2
283,900.0,2.0,41.0,Anandnagar,2
284,1460.0,2.0,70.0,Anandnagar,2
285,750.0,1.0,52.5,Anandnagar,1
286,1732.0,3.0,85.73,Anandnagar,3
287,1495.0,2.0,52.33,Anandnagar,3
288,1148.0,2.0,56.0,Anandnagar,2
289,2100.0,4.0,90.0,Anandnagar,4
290,1910.0,3.0,119.0,Anandnagar,3
291,500.0,2.0,24.0,Anandnagar,1
292,1176.0,2.0,35.27,Anandnagar,3
293,3200.0,4.0,280.0,Anandnagar,4
294,1020.0,2.0,60.0,Anandnagar,2
295,1750.0,3.0,123.0,Anandnagar,3
296,1125.0,2.0,32.49,Anandnagar,2
297,950.0,2.0,38.0,Anandnagar,2
298,1725.0,2.0,165.0,Anandnagar,3
299,665.0,1.0,32.0,Anandnagar,1
300,2400.0,4.0,250.0,Anandnagar,4
301,1355.0,3.0,83.87,Anandnagar,3
302,1200.0,3.0,125.0,Anandnagar,4
303,1027.0,2.0,42.0,Anandnagar,2
304,919.0,2.0,35.0,Anandnagar,2
305,645.0,1.0,42.5,Anandnagar,1
306,1613.0,3.0,150.0,Anandnagar,3
307,1020.0,2.0,46.0,Anandnagar,2
308,1280.0,2.0,100.0,Anandnagar,3
309,1115.0,2.0,60.0,Anandnagar,2
310,416.0,1.0,18.0,Anandnagar,1
311,1491.0,3.0,88.0,Anandnagar,3
312,1929.0,4.0,101.0,Anandnagar,3
313,850.0,2.0,25.99,Anandnagar,2
314,1770.0,3.0,90.0,Anandnagar,3
315,1444.0,2.0,75.97,Anandnagar,2
316,2025.0,4.0,115.0,Anandnagar,3
317,1397.0,3.0,105.0,Anandnagar,3
318,1738.0,3.0,110.0,Anandnagar,3
319,1139.0,2.0,56.5,Anandnagar,2
320,760.0,2.0,37.49,Anandnagar,2
321,1155.0,2.0,39.0,Anandnagar,2
322,3400.0,4.0,275.0,Anandnagar,4
323,702.0,1.0,52.0,Anandnagar,1
324,2895.5,2.0,246.0,Anandnagar,4
325,1330.0,2.0,80.0,Anandnagar,2
326,1152.0,1.0,66.0,Anandnagar,2
327,1314.0,2.0,110.0,Anandnagar,2
328,1100.0,2.0,75.0,Anandnagar,3
329,1500.0,3.0,56.0,Anandnagar,3
330,1464.0,2.0,115.0,Anandnagar,3
331,850.0,2.0,25.4,Anandnagar,2
332,2820.0,4.0,153.5,Anandnagar,4
333,985.0,2.0,50.17,Anandnagar,2
334,1000.0,2.0,70.0,Anandnagar,2
335,770.0,1.0,38.0,Anandnagar,2
336,1200.0,2.0,36.0,Anandnagar,2
337,3000.0,6.0,180.0,Anandnagar,7
338,1025.0,2.0,28.57,Anandnagar,2
339,1200.0,2.0,45.84,Anandnagar,2
340,1350.0,2.0,85.0,Anandnagar,3
341,1776.0,3.0,150.0,Anandnagar,3
342,1800.0,2.0,45.0,Anandnagar,3
343,1426.0,2.0,61.5,Anandnagar,3
344,1563.0,3.0,63.0,Anandnagar,3
345,2150.0,3.0,170.0,Anandnagar,3
346,1052.0,2.0,52.0,Anandnagar,2
347,1194.0,2.0,46.0,Anandnagar,2
348,1400.0,3.0,74.0,Anandnagar,3
349,1100.0,2.0,41.0,Anandnagar,2
350,410.0,1.0,10.0,Anandnagar,1
351,1768.0,3.0,81.31,Anandnagar,3
352,1088.0,2.0,30.46,Anandnagar,2
353,1335.0,2.0,72.76,Anandnagar,2
354,1600.0,2.0,90.0,Anandnagar,2
355,1917.0,4.0,130.0,Anandnagar,4
356,1521.0,3.0,95.0,Aundh,3
357,1200.0,3.0,90.0,Aundh,3
358,1327.0,2.0,98.0,Aundh,2
359,1027.0,2.0,44.0,Aundh,2
360,1580.0,2.0,134.0,Aundh,3
361,1355.0,2.0,115.0,Aundh,2
362,820.0,2.0,30.0,Aundh,2
363,1170.0,2.0,57.0,Aundh,2
364,1440.0,2.0,68.0,Aundh,3
365,1464.0,2.0,105.0,Aundh,3
366,1200.0,4.0,120.0,Aundh,4
367,1180.0,2.0,75.0,Aundh,2
368,2195.0,4.0,127.0,Aundh,3
369,3522.0,3.0,380.0,Aundh,3
370,1192.0,2.0,71.0,Aundh,2
371,2700.0,4.0,270.0,Aundh,3
372,2690.0,4.0,191.0,Aundh,4
373,1277.0,2.0,55.0,Aundh,2
374,1270.0,2.0,70.0,Aundh,3
375,1837.0,3.0,145.0,Aundh,3
376,1875.0,3.0,110.0,Aundh,3
377,2300.0,3.0,80.0,Aundh,3
378,3181.0,2.0,260.5,Aundh,4
379,1080.0,2.0,53.35,Aundh,2
380,440.0,1.0,28.0,Aundh,1
381,1350.0,2.0,90.0,Aundh,2
382,1515.0,3.0,65.0,Aundh,3
383,1110.0,2.0,41.0,Aundh,2
384,630.5,1.0,32.79,Aundh,1
385,1512.0,2.0,110.0,Aundh,3
386,1355.0,3.0,83.87,Aundh,3
387,1521.0,3.0,94.71,Aundh,3
388,1299.0,2.0,85.0,Aundh,2
389,1896.0,3.0,125.0,Aundh,4
390,1140.0,2.0,50.0,Aundh,2
391,1251.0,2.0,88.73,Aundh,2
392,2388.0,4.0,239.0,Aundh,3
393,1200.0,2.0,55.0,Aundh,2
394,1322.0,2.0,86.0,Aundh,2
395,1100.0,2.0,48.0,Aundh,2
396,2100.0,4.0,95.0,Aundh,4
397,700.0,2.0,34.98,Aundh,2
398,1450.0,3.0,100.0,Aundh,3
399,1100.0,2.0,45.0,Aundh,2
400,1486.0,3.0,83.22,Aundh,3
401,1350.0,6.0,160.0,Aundh,6
402,1390.0,2.0,65.31,Aundh,2
403,1690.0,3.0,85.0,Aundh,3
404,1290.0,2.0,80.0,Aundh,2
405,1302.0,2.0,68.5,Aundh,2
406,1000.0,2.0,36.0,Aundh,2
407,672.0,3.0,54.0,Aundh,4
408,1610.0,4.0,85.0,Aundh,3
409,1250.0,3.0,50.0,Aundh,3
410,1620.0,3.0,65.0,Aundh,3
411,1680.0,6.0,125.0,Aundh,6
412,1050.0,2.0,42.7,Aundh,2
413,1706.0,3.0,154.0,Aundh,3
414,1000.0,1.0,90.0,Aundh,2
415,1007.0,2.0,43.0,Aundh,2
416,1665.0,3.0,110.0,Aundh,3
417,3900.0,6.0,195.0,Aundh,6
418,1040.0,2.0,45.0,Aundh,2
419,1335.0,2.0,87.0,Aundh,3
420,1700.0,3.0,150.0,Aundh,3
421,3500.0,4.0,289.0,Aundh,4
422,1002.0,2.0,40.08,Aundh,2
423,1087.0,2.0,54.3,Aundh,2
424,6830.0,5.0,795.0,Aundh,4
425,1700.0,3.0,77.0,Aundh,3
426,1531.0,3.0,51.77,Aundh,3
427,1215.0,2.0,45.0,Aundh,2
428,1066.0,2.0,52.23,Aundh,2
429,1250.0,2.0,95.0,Aundh,2
430,1255.0,2.0,84.0,Aundh,2
431,1180.0,2.0,60.0,Aundh,2
432,3155.0,3.0,315.0,Aundh,3
433,2003.0,3.0,200.0,Aundh,3
434,1057.0,2.0,34.71,Aundh,2
435,1175.0,2.0,47.0,Aundh,2
436,700.0,1.0,35.0,Aundh,1
437,1508.0,3.0,75.0,Aundh,3
438,1020.0,2.0,42.83,Aundh,2
439,1140.0,2.0,49.11,Aundh,2
440,2330.0,5.0,175.0,Aundh,4
441,1250.0,3.0,40.0,Aundh,3
442,750.0,2.0,40.0,Aundh,2
443,1200.0,6.0,132.0,Aundh,6
444,715.0,2.0,29.0,Aundh,3
445,1842.0,3.0,115.0,Aundh,3
446,1632.0,3.0,140.0,Aundh,4
447,2830.0,4.0,161.0,Aundh,4
448,1350.0,1.0,55.0,Aundh,1
449,3930.0,5.0,330.0,Aundh,4
450,1305.0,2.0,52.0,Aundh,2
451,1560.0,3.0,149.0,Aundh,4
452,1416.0,2.0,67.0,Aundh,2
453,1034.0,2.0,38.0,Aundh,2
454,1090.0,2.0,31.48,Aundh,1
455,1453.0,2.0,73.0,Aundh,3
456,1767.0,3.0,89.0,Aundh,3
457,1400.0,3.0,75.0,Aundh,3
458,1885.0,3.0,135.0,Aundh,3
459,1344.0,4.0,84.0,Aundh,4
460,5100.0,5.0,300.0,Aundh,6
461,1464.0,3.0,56.0,Aundh,3
462,2400.0,2.0,125.0,Aundh,2
463,540.0,1.0,22.0,Aundh,1
464,2400.0,3.0,185.0,Aundh,4
465,4723.0,4.0,500.0,Aundh,4
466,1290.0,2.0,72.0,Aundh,2
467,1482.0,3.0,110.0,Aundh,3
468,1094.0,2.0,54.0,Aundh,2
469,1234.0,2.0,80.0,Aundh,2
470,1050.0,2.0,44.41,Aundh,2
471,1810.0,3.0,97.83,Aundh,3
472,1674.0,3.0,81.0,Aundh,3
473,1648.0,3.0,85.0,Aundh,3
474,1703.0,3.0,120.0,Aundh,3
475,1200.0,2.0,51.0,Aundh Road,2
476,2502.0,3.0,138.0,Aundh Road,3
477,1186.0,2.0,58.0,Aundh Road,2
478,1069.0,2.0,45.0,Aundh Road,2
479,1826.0,3.0,121.0,Aundh Road,3
480,1464.0,3.0,56.0,Aundh Road,3
481,967.0,2.0,45.0,Aundh Road,2
482,600.0,1.0,50.0,Aundh Road,1
483,1177.5,2.0,59.935,Aundh Road,2
484,1225.0,2.0,46.55,Aundh Road,2
485,901.0,2.0,35.14,Aundh Road,2
486,1234.0,2.0,80.0,Aundh Road,2
487,1330.0,2.0,92.5,Aundh Road,2
488,2200.0,6.0,68.0,Aundh Road,6
489,1650.0,3.0,125.0,Aundh Road,3
490,1240.0,2.0,46.0,Aundh Road,3
491,1100.0,2.0,50.0,Aundh Road,2
492,2400.0,3.0,142.0,Aundh Road,4
493,975.0,2.0,58.0,Aundh Road,2
494,2479.13,3.0,215.0,Aundh Road,3
495,3000.0,4.0,200.0,Aundh Road,4
496,1036.0,2.0,39.35,Aundh Road,2
497,2503.0,4.0,188.0,Aundh Road,4
498,1194.0,2.0,47.0,Aundh Road,2
499,1100.0,2.0,55.0,Aundh Road,2
500,1500.0,3.0,97.0,Aundh Road,3
501,7500.0,7.0,400.0,Aundh Road,7
502,1800.0,4.0,110.0,Aundh Road,4
503,1140.0,2.0,49.11,Aundh Road,2
504,750.0,2.0,36.0,Aundh Road,2
505,1708.0,3.0,75.0,Aundh Road,3
506,1100.0,2.0,68.0,Aundh Road,2
507,1134.0,2.0,40.0,Aundh Road,2
508,1330.0,2.0,78.0,Aundh Road,2
509,605.0,1.0,40.0,Aundh Road,1
510,1200.0,2.0,100.0,Aundh Road,2
511,1600.0,2.0,115.0,Aundh Road,3
512,1369.1,2.0,104.0,Aundh Road,2
513,1800.0,3.0,65.0,Aundh Road,3
514,720.0,4.0,62.0,Aundh Road,5
515,1012.0,2.0,59.0,Aundh Road,2
516,1948.0,3.0,130.0,Aundh Road,3
517,950.0,2.0,38.0,Aundh Road,2
518,1810.0,3.0,126.0,Aundh Road,3
519,1095.0,2.0,38.33,Aundh Road,2
520,555.0,1.0,37.0,Aundh Road,2
521,1300.0,2.0,75.0,Aundh Road,2
522,412.5,1.0,19.8,Aundh Road,1
523,1020.0,2.0,52.0,Aundh Road,2
524,540.0,1.0,16.5,Aundh Road,1
525,850.0,1.0,57.0,Aundh Road,1
526,1475.0,3.0,78.0,Aundh Road,3
527,1840.0,3.0,85.0,Aundh Road,3
528,905.0,1.0,52.0,Aundh Road,1
529,1293.0,2.0,85.0,Aundh Road,3
530,1127.0,2.0,65.0,Aundh Road,2
531,1480.0,2.0,58.0,Aundh Road,3
532,2968.0,3.0,225.0,Aundh Road,3
533,1250.0,2.0,50.0,Aundh Road,3
534,1027.0,2.0,60.0,Aundh Road,2
535,1600.0,3.0,112.0,Aundh Road,3
536,1240.0,2.0,59.52,Aundh Road,3
537,1436.0,2.0,55.0,Aundh Road,3
538,1145.0,2.0,54.0,Aundh Road,2
539,1000.0,2.0,70.65,Aundh Road,2
540,1350.0,2.0,68.0,Aundh Road,2
541,1246.0,2.0,67.3,Aundh Road,2
542,2134.0,4.0,118.0,Aundh Road,3
543,1220.0,2.0,36.21,Aundh Road,3
544,1480.0,3.0,74.0,Aundh Road,3
545,1290.0,2.0,90.0,Aundh Road,2
546,661.0,1.0,40.0,Aundh Road,1
547,1194.0,2.0,51.0,Aundh Road,2
548,1730.0,3.0,93.0,Aundh Road,3
549,1650.0,3.0,90.75,Aundh Road,3
550,1035.0,2.0,31.05,Aundh Road,2
551,616.0,3.0,45.0,Aundh Road,2
552,1100.0,2.0,70.0,Aundh Road,2
553,900.0,2.0,60.0,Aundh Road,2
554,1205.0,2.0,56.58,Aundh Road,2
555,700.0,2.0,35.0,Aundh Road,2
556,800.0,2.0,32.0,Aundh Road,2
557,1150.0,2.0,42.0,Aundh Road,2
558,645.0,1.0,41.0,Aundh Road,1
559,1340.0,2.0,65.0,Aundh Road,2
560,900.0,3.0,79.0,Aundh Road,3
561,1222.0,3.0,95.0,Aundh Road,3
562,1110.0,2.0,44.95,Aundh Road,2
563,1130.0,2.0,68.0,Aundh Road,2
564,1000.0,2.0,66.0,Aundh Road,2
565,1400.0,2.0,40.45,Aundh Road,3
566,1167.0,2.0,37.5,Aundh Road,2
567,1140.0,2.0,60.0,Aundh Road,2
568,1355.0,3.0,54.2,Aundh Road,3
569,1740.0,3.0,80.0,Aundh Road,3
570,1650.0,3.0,126.0,Aundh Road,3
571,1145.0,2.0,46.0,Aundh Road,2
572,1226.0,2.0,65.0,Aundh Road,2
573,1293.0,2.0,80.0,Aundh Road,2
574,1245.0,2.0,80.0,Aundh Road,2
575,935.0,2.0,37.77,Aundh Road,2
576,1300.0,2.0,69.0,Aundh Road,3
577,1000.0,2.0,45.0,Aundh Road,2
578,1308.0,2.0,53.0,Aundh Road,3
579,1200.0,2.0,42.0,Aundh Road,2
580,850.0,3.0,63.0,Aundh Road,3
581,820.0,2.0,37.0,Aundh Road,2
582,3408.0,5.0,145.0,Aundh Road,4
583,1200.0,2.0,68.0,Aundh Road,2
584,1500.0,3.0,90.0,Aundh Road,3
585,2140.0,3.0,139.0,Aundh Road,3
586,1000.0,2.0,66.0,Aundh Road,2
587,1084.0,2.0,51.0,Aundh Road,2
588,1200.0,2.0,100.0,Aundh Road,5
589,1100.0,2.0,32.0,Aundh Road,2
