,area_type,total_sqft,bath,price,location,bhk
70,Super built-up  Area,1856,3,135,Alandi Road,3
71,Built-up  Area,1800,4,125,Alandi Road,3
72,Super built-up  Area,1338,2,103,Alandi Road,2
74,Plot  Area,2480,2,160,Alandi Road,2
75,Super built-up  Area,3596,5,279,Alandi Road,4
76,Plot  Area,375,1,40,Alandi Road,1
78,Plot  Area,2400,5,200,Alandi Road,5
79,Super built-up  Area,1565,2,69,Alandi Road,2
80,Super built-up  Area,1185,2,51.15,Alandi Road,2
81,Super built-up  Area,1091,2,33.82,Alandi Road,2
82,Plot  Area,1200,4,125,Alandi Road,4
83,Super built-up  Area,1135,2,68,Alandi Road,2
84,Super built-up  Area,2658,5,189,Alandi Road,4
85,Super built-up  Area,3000,4,301,Alandi Road,4
86,Super built-up  Area,1830,4,150,Alandi Road,3
87,Built-up  Area,1907,2,200,Alandi Road,3
88,Built-up  Area,1685,3,115,Alandi Road,3
89,Super built-up  Area,890,2,40,Alandi Road,2
90,Super built-up  Area,1260,2,75,Alandi Road,3
91,Super built-up  Area,674,1,19.9,Alandi Road,2
92,Super built-up  Area,1049,2,51,Alandi Road,2
93,Super built-up  Area,945,2,35,Alandi Road,2
94,Super built-up  Area,1540,3,90,Alandi Road,3
96,Super built-up  Area,1194,2,51,Alandi Road,2
97,Built-up  Area,1189,2,45,Alandi Road,2
98,Super built-up  Area,1339,2,53.56,Alandi Road,2
99,Super built-up  Area,1350,2,68,Alandi Road,2
101,Super built-up  Area,1244,2,88,Alandi Road,2
102,Super built-up  Area,1719,3,135,Alandi Road,3
103,Super built-up  Area,416,1,17.19,Alandi Road,1
104,Super built-up  Area,1041,2,54,Alandi Road,2
105,Super built-up  Area,705,1,65,Alandi Road,1
108,Super built-up  Area,1027,2,44,Alandi Road,2
109,Super built-up  Area,1801,3,115,Alandi Road,3
110,Super built-up  Area,1205,2,37,Alandi Road,2
111,Super built-up  Area,1105,2,39.5,Alandi Road,2
112,Super built-up  Area,3504,4,262,Alandi Road,4
113,Super built-up  Area,1089,2,40,Alandi Road,2
114,Super built-up  Area,925,2,49.82,Alandi Road,3
115,Super built-up  Area,1255,3,90,Alandi Road,3
116,Super built-up  Area,1200,2,45,Alandi Road,2
117,Built-up  Area,1799,6,101,Alandi Road,6
119,Plot  Area,1200,2,75,Alandi Road,2
120,Plot  Area,2600,5,120,Ambegaon Budruk,4
121,Super built-up  Area,1330,2,48,Ambegaon Budruk,3
122,Super built-up  Area,950,2,40,Ambegaon Budruk,2
123,Plot  Area,1200,2,65,Ambegaon Budruk,2
124,Super built-up  Area,1180,2,78.34,Ambegaon Budruk,3
125,Super built-up  Area,1215,2,67,Ambegaon Budruk,2
126,Super built-up  Area,884,2,41.1,Ambegaon Budruk,2
127,Super built-up  Area,1036,2,50,Ambegaon Budruk,2
128,Plot  Area,6000,5,400,Ambegaon Budruk,4
129,Plot  Area,1240,2,60,Ambegaon Budruk,2
130,Super built-up  Area,2060,3,149,Ambegaon Budruk,3
131,Super built-up  Area,1890,4,127,Ambegaon Budruk,3
132,Super built-up  Area,1330,2,86.98,Ambegaon Budruk,2
133,Super built-up  Area,1700,3,180,Ambegaon Budruk,3
134,Super built-up  Area,1115,2,50,Ambegaon Budruk,2
135,Super built-up  Area,1045,2,45,Ambegaon Budruk,2
136,Super built-up  Area,1070,2,54,Ambegaon Budruk,2
137,Super built-up  Area,1340,2,100,Ambegaon Budruk,3
138,Built-up  Area,1500,2,143,Ambegaon Budruk,3
139,Super built-up  Area,3122,6,245,Ambegaon Budruk,4
140,Super built-up  Area,1089,2,43.55,Ambegaon Budruk,2
141,Super built-up  Area,3250,4,230,Ambegaon Budruk,4
142,Super built-up  Area,1130,2,45.19,Ambegaon Budruk,3
143,Built-up  Area,1082,2,49,Ambegaon Budruk,3
144,Super built-up  Area,780,2,25,Ambegaon Budruk,2
145,Super built-up  Area,1355,3,61,Ambegaon Budruk,3
146,Super built-up  Area,1065,2,50,Ambegaon Budruk,2
147,Super built-up  Area,1351,2,53,Ambegaon Budruk,1
148,Super built-up  Area,1146,2,39.5,Ambegaon Budruk,2
149,Super built-up  Area,1000,2,60,Ambegaon Budruk,2
150,Super built-up  Area,1665,3,86.91,Ambegaon Budruk,3
151,Super built-up  Area,1274,2,48.42,Ambegaon Budruk,2
152,Super built-up  Area,1819.18,3,160,Ambegaon Budruk,3
153,Super built-up  Area,1444,2,80,Ambegaon Budruk,3
154,Super built-up  Area,1263,2,78,Ambegaon Budruk,2
155,Super built-up  Area,1690,3,112,Ambegaon Budruk,3
156,Super built-up  Area,1500,3,95,Ambegaon Budruk,3
157,Super built-up  Area,709,1,34.385,Ambegaon Budruk,1
158,Super built-up  Area,1410,2,45.12,Ambegaon Budruk,3
159,Built-up  Area,1000,2,68,Ambegaon Budruk,2
160,Super built-up  Area,1360,2,103,Ambegaon Budruk,2
161,Built-up  Area,1140,2,52,Ambegaon Budruk,2
162,Built-up  Area,2560,4,75,Ambegaon Budruk,4
163,Super built-up  Area,1230,2,53.51,Ambegaon Budruk,3
164,Super built-up  Area,1174,2,75,Ambegaon Budruk,2
165,Super built-up  Area,1075,2,30,Ambegaon Budruk,2
166,Super built-up  Area,1260,2,45,Ambegaon Budruk,3
167,Super built-up  Area,1390,2,65,Ambegaon Budruk,2
168,Super built-up  Area,1010,2,35,Ambegaon Budruk,2
169,Super built-up  Area,1250,2,60,Ambegaon Budruk,2
170,Plot  Area,2400,5,190,Ambegaon Budruk,4
171,Plot  Area,1150,6,75,Ambegaon Budruk,6
172,Super built-up  Area,1576,3,58,Ambegaon Budruk,3
173,Super built-up  Area,1200,2,52.5,Ambegaon Budruk,2
174,Super built-up  Area,919,2,34,Ambegaon Budruk,2
175,Super built-up  Area,1242,2,65,Ambegaon Budruk,2
176,Plot  Area,1200,4,110,Ambegaon Budruk,6
177,Super built-up  Area,913,2,36,Ambegaon Budruk,2
178,Super built-up  Area,883,2,45,Ambegaon Budruk,2
179,Super built-up  Area,1724,3,146,Ambegaon Budruk,3
180,Super built-up  Area,1741,3,80,Ambegaon Budruk,3
181,Super built-up  Area,1444,2,71.5,Ambegaon Budruk,3
182,Built-up  Area,1395,2,75,Ambegaon Budruk,2
183,Super built-up  Area,600,1,47,Ambegaon Budruk,1
184,Super built-up  Area,1280,3,50,Ambegaon Budruk,3
185,Built-up  Area,1258,2,58,Ambegaon Budruk,2
186,Built-up  Area,1806,3,85,Ambegaon Budruk,3
187,Super built-up  Area,750,2,36.5,Ambegaon Budruk,2
188,Built-up  Area,2600,3,147,Ambegaon Budruk,3
189,Plot  Area,900,2,55,Ambegaon Budruk,2
190,Super built-up  Area,500,1,20,Ambegaon Budruk,1
191,Super built-up  Area,1089,2,49,Ambegaon Budruk,2
192,Built-up  Area,1086,2,44.5,Ambegaon Budruk,2
193,Super built-up  Area,1512,3,103,Ambegaon Budruk,3
194,Super built-up  Area,1500,3,72.99,Ambegaon Budruk,3
195,Plot  Area,2000,2,180,Ambegaon Budruk,3
196,Super built-up  Area,1215,2,68,Ambegaon Budruk,2
197,Built-up  Area,2400,2,125,Ambegaon Budruk,3
198,Super built-up  Area,2210,3,165,Ambegaon Budruk,3
199,Super built-up  Area,1800,3,93,Ambegaon Budruk,3
200,Super built-up  Area,3122,6,245,Ambegaon Budruk,4
201,Super built-up  Area,1600,2,90,Ambegaon Budruk,3
202,Super built-up  Area,1452,3,60,Ambegaon Budruk,3
203,Super built-up  Area,2275,4,185,Ambegaon Budruk,3
204,Built-up  Area,900,2,72,Ambegaon Budruk,2
205,Super built-up  Area,1398,2,97,Ambegaon Budruk,2
206,Super built-up  Area,3270,4,205,Ambegaon Budruk,4
207,Super built-up  Area,1340,2,85,Ambegaon Budruk,2
208,Built-up  Area,1350,3,70,Ambegaon Budruk,3
209,Super built-up  Area,2650,4,175,Ambegaon Budruk,3
210,Carpet  Area,500,1,33,Ambegaon Budruk,1
211,Super built-up  Area,984,2,45.91,Ambegaon Budruk,2
212,Super built-up  Area,1725,3,106,Ambegaon Budruk,3
213,Plot  Area,2250,5,240,Ambegaon Budruk,5
214,Super built-up  Area,1035,2,39,Ambegaon Budruk,2
215,Built-up  Area,1220,2,35.23,Ambegaon Budruk,3
216,Super built-up  Area,1590,3,76.16,Ambegaon Budruk,3
217,Super built-up  Area,1345,2,57,Ambegaon Budruk,3
218,Super built-up  Area,1107.83,2,41.51,Ambegaon Budruk,2
219,Super built-up  Area,1505,2,60,Ambegaon Budruk,3
220,Super built-up  Area,1220,2,62,Ambegaon Budruk,2
221,Built-up  Area,560,2,22,Ambegaon Budruk,2
222,Built-up  Area,1200,2,45,Ambegaon Budruk,2
223,Super built-up  Area,1310,2,60,Ambegaon Budruk,2
224,Super built-up  Area,1315,2,55,Ambegaon Budruk,2
225,Super built-up  Area,1450,2,73,Ambegaon Budruk,3
226,Super built-up  Area,1220,2,55,Ambegaon Budruk,2
227,Plot  Area,1200,1,50,Ambegaon Budruk,2
228,Super built-up  Area,1150,2,45.99,Ambegaon Budruk,2
229,Super built-up  Area,1165,2,52,Ambegaon Budruk,2
230,Super built-up  Area,1160,2,49,Ambegaon Budruk,2
231,Super built-up  Area,925,2,35,Ambegaon Budruk,2
232,Super built-up  Area,1516,3,147,Ambegaon Budruk,3
233,Super built-up  Area,1790,3,120,Ambegaon Budruk,3
234,Super built-up  Area,1112,2,58,Ambegaon Budruk,2
235,Built-up  Area,1490,3,85,Ambegaon Budruk,3
236,Built-up  Area,1440,2,62,Anandnagar,3
237,Built-up  Area,1200,2,65,Anandnagar,2
238,Super built-up  Area,1200,2,60,Anandnagar,2
239,Super built-up  Area,1017,2,51.25,Anandnagar,2
240,Built-up  Area,1629,3,79,Anandnagar,3
241,Super built-up  Area,1460,3,73,Anandnagar,3
242,Plot  Area,900,3,80,Anandnagar,5
243,Super built-up  Area,1300,1,115,Anandnagar,2
244,Built-up  Area,1662,3,85.1,Anandnagar,3
245,Super built-up  Area,1117,2,56,Anandnagar,2
246,Super built-up  Area,1535,3,78,Anandnagar,3
247,Super built-up  Area,1730,3,96,Anandnagar,3
248,Super built-up  Area,1400,2,73,Anandnagar,3
249,Super built-up  Area,1200,2,34,Anandnagar,3
250,Super built-up  Area,1757,3,132,Anandnagar,3
251,Plot  Area,1200,2,125,Anandnagar,2
252,Plot  Area,1200,4,83,Anandnagar,4
253,Built-up  Area,3555,4,230,Anandnagar,4
254,Plot  Area,1450,3,132,Anandnagar,4
255,Built-up  Area,1010,2,46,Anandnagar,2
256,Super built-up  Area,1290,2,85,Anandnagar,2
257,Super built-up  Area,1800,3,90,Anandnagar,3
258,Super built-up  Area,2475,4,130,Anandnagar,3
259,Super built-up  Area,1776.42,3,105,Anandnagar,3
260,Super built-up  Area,1050,2,42,Anandnagar,2
261,Super built-up  Area,1455,2,56,Anandnagar,3
262,Super built-up  Area,1000,2,65,Anandnagar,3
263,Super built-up  Area,1128,2,65,Anandnagar,2
264,Super built-up  Area,1000,2,22,Anandnagar,2
265,Built-up  Area,1345,2,55,Anandnagar,2
266,Super built-up  Area,1277,2,55,Anandnagar,2
267,Plot  Area,1200,8,110,Anandnagar,7
268,Super built-up  Area,1418,2,103,Anandnagar,2
269,Super built-up  Area,1050,2,53.5,Anandnagar,2
270,Super built-up  Area,1340,2,77,Anandnagar,2
271,Built-up  Area,1419,2,73,Anandnagar,3
272,Super built-up  Area,1891,3,109,Anandnagar,3
273,Plot  Area,2592,4,250,Anandnagar,4
274,Carpet  Area,1050,2,40,Anandnagar,2
275,Super built-up  Area,1100,2,41.15,Anandnagar,2
276,Super built-up  Area,1583,3,76.1,Anandnagar,3
277,Super built-up  Area,1750,3,130,Anandnagar,3
278,Super built-up  Area,2661,2,226.5,Anandnagar,3
279,Built-up  Area,972,2,40,Anandnagar,2
280,Super built-up  Area,966,2,49,Anandnagar,2
281,Super built-up  Area,1045,2,58,Anandnagar,2
282,Super built-up  Area,1033,2,52.58,Anandnagar,2
283,Super built-up  Area,900,2,41,Anandnagar,2
284,Super built-up  Area,1460,2,70,Anandnagar,2
285,Super built-up  Area,750,1,52.5,Anandnagar,1
286,Super built-up  Area,1732,3,85.73,Anandnagar,3
287,Super built-up  Area,1495,2,52.33,Anandnagar,3
288,Super built-up  Area,1148,2,56,Anandnagar,2
289,Built-up  Area,2100,4,90,Anandnagar,4
290,Super built-up  Area,1910,3,119,Anandnagar,3
291,Super built-up  Area,500,2,24,Anandnagar,1
292,Super built-up  Area,1176,2,35.27,Anandnagar,3
293,Built-up  Area,3200,4,280,Anandnagar,4
294,Super built-up  Area,1020,2,60,Anandnagar,2
295,Super built-up  Area,1750,3,123,Anandnagar,3
296,Built-up  Area,1125,2,32.49,Anandnagar,2
297,Super built-up  Area,950,2,38,Anandnagar,2
298,Built-up  Area,1725,2,165,Anandnagar,3
299,Super built-up  Area,665,1,32,Anandnagar,1
300,Super built-up  Area,2400,4,250,Anandnagar,4
301,Super built-up  Area,1355,3,83.87,Anandnagar,3
302,Plot  Area,1200,3,125,Anandnagar,4
303,Super built-up  Area,1027,2,42,Anandnagar,2
304,Super built-up  Area,919,2,35,Anandnagar,2
305,Super built-up  Area,645,1,42.5,Anandnagar,1
306,Super built-up  Area,1613,3,150,Anandnagar,3
307,Super built-up  Area,1020,2,46,Anandnagar,2
308,Super built-up  Area,1280,2,100,Anandnagar,3
309,Super built-up  Area,1115,2,60,Anandnagar,2
310,Super built-up  Area,416,1,18,Anandnagar,1
311,Built-up  Area,1491,3,88,Anandnagar,3
312,Super built-up  Area,1929,4,101,Anandnagar,3
313,Built-up  Area,850,2,25.99,Anandnagar,2
314,Built-up  Area,1770,3,90,Anandnagar,3
315,Super built-up  Area,1444,2,75.97,Anandnagar,2
316,Super built-up  Area,2025,4,115,Anandnagar,3
317,Super built-up  Area,1397,3,105,Anandnagar,3
318,Built-up  Area,1738,3,110,Anandnagar,3
319,Super built-up  Area,1139,2,56.5,Anandnagar,2
320,Built-up  Area,760,2,37.49,Anandnagar,2
321,Super built-up  Area,1155,2,39,Anandnagar,2
322,Super built-up  Area,3400,4,275,Anandnagar,4
323,Super built-up  Area,702,1,52,Anandnagar,1
324,Super built-up  Area,2895.5,2,246,Anandnagar,4
325,Super built-up  Area,1330,2,80,Anandnagar,2
326,Plot  Area,1152,1,66,Anandnagar,2
327,Super built-up  Area,1314,2,110,Anandnagar,2
328,Super built-up  Area,1100,2,75,Anandnagar,3
329,Super built-up  Area,1500,3,56,Anandnagar,3
330,Built-up  Area,1464,2,115,Anandnagar,3
331,Super built-up  Area,850,2,25.4,Anandnagar,2
332,Super built-up  Area,2820,4,153.5,Anandnagar,4
333,Super built-up  Area,985,2,50.17,Anandnagar,2
334,Built-up  Area,1000,2,70,Anandnagar,2
335,Super built-up  Area,770,1,38,Anandnagar,2
336,Super built-up  Area,1200,2,36,Anandnagar,2
337,Super built-up  Area,3000,6,180,Anandnagar,7
338,Super built-up  Area,1025,2,28.57,Anandnagar,2
339,Plot  Area,1200,2,45.84,Anandnagar,2
340,Built-up  Area,1350,2,85,Anandnagar,3
341,Super built-up  Area,1776,3,150,Anandnagar,3
342,Super built-up  Area,1800,2,45,Anandnagar,3
343,Super built-up  Area,1426,2,61.5,Anandnagar,3
344,Super built-up  Area,1563,3,63,Anandnagar,3
345,Super built-up  Area,2150,3,170,Anandnagar,3
346,Built-up  Area,1052,2,52,Anandnagar,2
347,Super built-up  Area,1194,2,46,Anandnagar,2
348,Built-up  Area,1400,3,74,Anandnagar,3
349,Super built-up  Area,1100,2,41,Anandnagar,2
350,Super built-up  Area,410,1,10,Anandnagar,1
351,Super built-up  Area,1768,3,81.31,Anandnagar,3
352,Super built-up  Area,1088,2,30.46,Anandnagar,2
353,Super built-up  Area,1335,2,72.76,Anandnagar,2
354,Built-up  Area,1600,2,90,Anandnagar,2
355,Built-up  Area,1917,4,130,Anandnagar,4
356,Super built-up  Area,1521,3,95,Aundh,3
357,Built-up  Area,1200,3,90,Aundh,3
358,Super built-up  Area,1327,2,98,Aundh,2
359,Super built-up  Area,1027,2,44,Aundh,2
360,Built-up  Area,1580,2,134,Aundh,3
361,Super built-up  Area,1355,2,115,Aundh,2
362,Super built-up  Area,820,2,30,Aundh,2
363,Built-up  Area,1170,2,57,Aundh,2
364,Super built-up  Area,1440,2,68,Aundh,3
365,Super built-up  Area,1464,2,105,Aundh,3
366,Plot  Area,1200,4,120,Aundh,4
367,Built-up  Area,1180,2,75,Aundh,2
368,Built-up  Area,2195,4,127,Aundh,3
369,Super built-up  Area,3522,3,380,Aundh,3
370,Built-up  Area,1192,2,71,Aundh,2
371,Super built-up  Area,2700,4,270,Aundh,3
372,Super built-up  Area,2690,4,191,Aundh,4
373,Built-up  Area,1277,2,55,Aundh,2
374,Super built-up  Area,1270,2,70,Aundh,3
375,Super built-up  Area,1837,3,145,Aundh,3
376,Super built-up  Area,1875,3,110,Aundh,3
377,Built-up  Area,2300,3,80,Aundh,3
378,Super built-up  Area,3181,2,260.5,Aundh,4
379,Super built-up  Area,1080,2,53.35,Aundh,2
380,Super built-up  Area,440,1,28,Aundh,1
381,Plot  Area,1350,2,90,Aundh,2
382,Super built-up  Area,1515,3,65,Aundh,3
383,Super built-up  Area,1110,2,41,Aundh,2
384,Super built-up  Area,630.5,1,32.79,Aundh,1
385,Super built-up  Area,1512,2,110,Aundh,3
386,Super built-up  Area,1355,3,83.87,Aundh,3
387,Super built-up  Area,1521,3,94.71,Aundh,3
388,Super built-up  Area,1299,2,85,Aundh,2
389,Super built-up  Area,1896,3,125,Aundh,4
390,Super built-up  Area,1140,2,50,Aundh,2
391,Super built-up  Area,1251,2,88.73,Aundh,2
392,Built-up  Area,2388,4,239,Aundh,3
393,Super built-up  Area,1200,2,55,Aundh,2
394,Super built-up  Area,1322,2,86,Aundh,2
395,Built-up  Area,1100,2,48,Aundh,2
396,Built-up  Area,2100,4,95,Aundh,4
397,Super built-up  Area,700,2,34.98,Aundh,2
398,Super built-up  Area,1450,3,100,Aundh,3
399,Super built-up  Area,1100,2,45,Aundh,2
400,Super built-up  Area,1486,3,83.22,Aundh,3
401,Plot  Area,1350,6,160,Aundh,6
402,Super built-up  Area,1390,2,65.31,Aundh,2
403,Super built-up  Area,1690,3,85,Aundh,3
404,Super built-up  Area,1290,2,80,Aundh,2
405,Super built-up  Area,1302,2,68.5,Aundh,2
406,Super built-up  Area,1000,2,36,Aundh,2
407,Built-up  Area,672,3,54,Aundh,4
408,Super built-up  Area,1610,4,85,Aundh,3
409,Super built-up  Area,1250,3,50,Aundh,3
410,Built-up  Area,1620,3,65,Aundh,3
411,Plot  Area,1680,6,125,Aundh,6
412,Super built-up  Area,1050,2,42.7,Aundh,2
413,Super built-up  Area,1706,3,154,Aundh,3
414,Super built-up  Area,1000,1,90,Aundh,2
415,Built-up  Area,1007,2,43,Aundh,2
416,Super built-up  Area,1665,3,110,Aundh,3
417,Plot  Area,3900,6,195,Aundh,6
418,Super built-up  Area,1040,2,45,Aundh,2
419,Built-up  Area,1335,2,87,Aundh,3
420,Super built-up  Area,1700,3,150,Aundh,3
421,Plot  Area,3500,4,289,Aundh,4
422,Super built-up  Area,1002,2,40.08,Aundh,2
423,Super built-up  Area,1087,2,54.3,Aundh,2
424,Super built-up  Area,6830,5,795,Aundh,4
425,Super built-up  Area,1700,3,77,Aundh,3
426,Super built-up  Area,1531,3,51.77,Aundh,3
427,Super built-up  Area,1215,2,45,Aundh,2
428,Built-up  Area,1066,2,52.23,Aundh,2
429,Super built-up  Area,1250,2,95,Aundh,2
430,Built-up  Area,1255,2,84,Aundh,2
431,Built-up  Area,1180,2,60,Aundh,2
432,Super built-up  Area,3155,3,315,Aundh,3
433,Super built-up  Area,2003,3,200,Aundh,3
434,Super built-up  Area,1057,2,34.71,Aundh,2
435,Super built-up  Area,1175,2,47,Aundh,2
436,Super built-up  Area,700,1,35,Aundh,1
437,Super built-up  Area,1508,3,75,Aundh,3
438,Super built-up  Area,1020,2,42.83,Aundh,2
439,Super built-up  Area,1140,2,49.11,Aundh,2
440,Super built-up  Area,2330,5,175,Aundh,4
441,Super built-up  Area,1250,3,40,Aundh,3
442,Super built-up  Area,750,2,40,Aundh,2
443,Plot  Area,1200,6,132,Aundh,6
444,Built-up  Area,715,2,29,Aundh,3
445,Super built-up  Area,1842,3,115,Aundh,3
446,Built-up  Area,1632,3,140,Aundh,4
447,Built-up  Area,2830,4,161,Aundh,4
448,Plot  Area,1350,1,55,Aundh,1
449,Super built-up  Area,3930,5,330,Aundh,4
450,Built-up  Area,1305,2,52,Aundh,2
451,Plot  Area,1560,3,149,Aundh,4
452,Super built-up  Area,1416,2,67,Aundh,2
453,Super built-up  Area,1034,2,38,Aundh,2
454,Built-up  Area,1090,2,31.48,Aundh,1
455,Built-up  Area,1453,2,73,Aundh,3
456,Super built-up  Area,1767,3,89,Aundh,3
457,Super built-up  Area,1400,3,75,Aundh,3
458,Super built-up  Area,1885,3,135,Aundh,3
459,Plot  Area,1344,4,84,Aundh,4
460,Built-up  Area,5100,5,300,Aundh,6
461,Super built-up  Area,1464,3,56,Aundh,3
462,Plot  Area,2400,2,125,Aundh,2
463,Plot  Area,540,1,22,Aundh,1
464,Built-up  Area,2400,3,185,Aundh,4
465,Plot  Area,4723,4,500,Aundh,4
466,Super built-up  Area,1290,2,72,Aundh,2
467,Super built-up  Area,1482,3,110,Aundh,3
468,Super built-up  Area,1094,2,54,Aundh,2
469,Super built-up  Area,1234,2,80,Aundh,2
470,Super built-up  Area,1050,2,44.41,Aundh,2
471,Super built-up  Area,1810,3,97.83,Aundh,3
472,Super built-up  Area,1674,3,81,Aundh,3
473,Super built-up  Area,1648,3,85,Aundh,3
474,Super built-up  Area,1703,3,120,Aundh,3
475,Super built-up  Area,1200,2,51,Aundh Road,2
476,Super built-up  Area,2502,3,138,Aundh Road,3
477,Super built-up  Area,1186,2,58,Aundh Road,2
478,Super built-up  Area,1069,2,45,Aundh Road,2
479,Super built-up  Area,1826,3,121,Aundh Road,3
480,Super built-up  Area,1464,3,56,Aundh Road,3
481,Built-up  Area,967,2,45,Aundh Road,2
482,Plot  Area,600,1,50,Aundh Road,1
483,Super built-up  Area,1177.5,2,59.935,Aundh Road,2
484,Super built-up  Area,1225,2,46.55,Aundh Road,2
485,Super built-up  Area,901,2,35.14,Aundh Road,2
486,Super built-up  Area,1234,2,80,Aundh Road,2
487,Super built-up  Area,1330,2,92.5,Aundh Road,2
488,Built-up  Area,2200,6,68,Aundh Road,6
489,Super built-up  Area,1650,3,125,Aundh Road,3
490,Super built-up  Area,1240,2,46,Aundh Road,3
491,Built-up  Area,1100,2,50,Aundh Road,2
492,Built-up  Area,2400,3,142,Aundh Road,4
493,Super built-up  Area,975,2,58,Aundh Road,2
494,Super built-up  Area,2479.13,3,215,Aundh Road,3
495,Built-up  Area,3000,4,200,Aundh Road,4
496,Super built-up  Area,1036,2,39.35,Aundh Road,2
497,Super built-up  Area,2503,4,188,Aundh Road,4
498,Super built-up  Area,1194,2,47,Aundh Road,2
499,Super built-up  Area,1100,2,55,Aundh Road,2
500,Plot  Area,1500,3,97,Aundh Road,3
501,Built-up  Area,7500,7,400,Aundh Road,7
502,Plot  Area,1800,4,110,Aundh Road,4
503,Super built-up  Area,1140,2,49.11,Aundh Road,2
504,Built-up  Area,750,2,36,Aundh Road,2
505,Super built-up  Area,1708,3,75,Aundh Road,3
506,Plot  Area,1100,2,68,Aundh Road,2
507,Super built-up  Area,1134,2,40,Aundh Road,2
508,Super built-up  Area,1330,2,78,Aundh Road,2
509,Super built-up  Area,605,1,40,Aundh Road,1
510,Plot  Area,1200,2,100,Aundh Road,2
511,Super built-up  Area,1600,2,115,Aundh Road,3
512,Super built-up  Area,1369.1,2,104,Aundh Road,2
513,Super built-up  Area,1800,3,65,Aundh Road,3
514,Plot  Area,720,4,62,Aundh Road,5
515,Super built-up  Area,1012,2,59,Aundh Road,2
516,Super built-up  Area,1948,3,130,Aundh Road,3
517,Built-up  Area,950,2,38,Aundh Road,2
518,Super built-up  Area,1810,3,126,Aundh Road,3
519,Super built-up  Area,1095,2,38.33,Aundh Road,2
520,Plot  Area,555,1,37,Aundh Road,2
521,Super built-up  Area,1300,2,75,Aundh Road,2
522,Super built-up  Area,412.5,1,19.8,Aundh Road,1
523,Super built-up  Area,1020,2,52,Aundh Road,2
524,Plot  Area,540,1,16.5,Aundh Road,1
